DE_group	knockout_gene_strategy	n_ko	n_WT
CBO_day_3_4	LHX5_CE	6	2
CBO_day_3_4	LHX5_KO	6	2
CBO_day_3_4	LHX5_PTC	6	2
CBO_day_6	LHX5_CE	6	6
CBO_day_6	LHX5_KO	6	6
CBO_day_6	LHX5_PTC	6	6
CBO_day_6	FEZF2_CE	3	6
CBO_day_6	FEZF2_KO	3	6
CBO_day_6	FEZF2_PTC	3	6
CBO_day_6	RFX4_CE	3	6
CBO_day_6	RFX4_KO	3	6
CBO_day_6	RFX4_PTC	3	6
CBO_day_7	FEZF2_CE	3	4
CBO_day_7	FEZF2_KO	3	4
CBO_day_7	FEZF2_PTC	3	4
CBO_day_7	PAX6_CE	3	4
CBO_day_7	PAX6_KO	3	4
CBO_day_7	PAX6_PTC	3	4
CBO_day_7	RFX4_CE	3	4
CBO_day_7	RFX4_KO	3	4
CBO_day_7	RFX4_PTC	3	4
CBO_day_7	OTX1_CE	3	4
CBO_day_7	OTX1_KO	3	4
CBO_day_7	OTX1_PTC	3	4
CBO_day_8_excluding_20230424_23-scbct-028-run3	OTX1_CE	3	4
CBO_day_8_excluding_20230424_23-scbct-028-run3	OTX1_KO	3	4
CBO_day_8_excluding_20230424_23-scbct-028-run3	OTX1_PTC	3	4
CBO_day_8_excluding_20230424_23-scbct-028-run3	FEZF2_CE	3	4
CBO_day_8_excluding_20230424_23-scbct-028-run3	FEZF2_KO	3	4
CBO_day_8_excluding_20230424_23-scbct-028-run3	FEZF2_PTC	3	4
CBO_day_9	RFX4_CE	3	2
CBO_day_9	RFX4_KO	3	2
CBO_day_9	RFX4_PTC	3	2
CBO_day_9	OTX1_CE	3	2
CBO_day_9	OTX1_KO	3	2
CBO_day_9	OTX1_PTC	3	2
